CR #,Build,Top Label,Owner,Issues,Analysis,Date,CRs
IKUT-825140,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/3/2015,13
IKUT-825152,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/3/2015,
IKUT-825157,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/3/2015,
IKUT-825162,LPH23.145-22,High Background Uptime,,,,12/3/2015,
IKUT-825177,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/3/2015,
IKUT-825204,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/3/2015,
IKUT-825215,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/3/2015,
IKUT-825221,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/3/2015,
IKUT-825172,LPH23.145-22,High Background CD,,,,12/3/2015,
IKUT-825181,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/3/2015,
IKUT-825207,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/3/2015,
IKUT-825151,LPH23.145-22,Low EBL,,,,12/3/2015,
IKUT-825219,LPH23.145-22,Low EBL,,,,12/3/2015,
IKUT-825248,LPH23.145-22,High Background Uptime,,,,12/4/2015,16
IKUT-825511,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/4/2015,
IKUT-825520,LPH23.145-7,High Background Uptime,,,,12/4/2015,
IKUT-825252,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/4/2015,
IKUT-825254,LPH23.145-22,High Background CD,,,,12/4/2015,
IKUT-825256,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/4/2015,
IKUT-825263,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/4/2015,
IKUT-825324,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/4/2015,
IKUT-825578,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/4/2015,
IKUT-825579,LPH23.145-22,High NightTime CD,,,,12/4/2015,
IKUT-825585,LPH23.145-22,High NightTime CD,,,,12/4/2015,
IKUT-825587,LPH23.145-22,High NightTime CD,,,,12/4/2015,
IKUT-825589,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/4/2015,
IKUT-825590,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/4/2015,
IKUT-825591,LPH23.145-22,High NightTime CD,,,,12/4/2015,
IKUT-825253,LPH23.145-22,Low EBL,,,,12/4/2015,
IKUT-825630,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,77
IKUT-825637,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-825648,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-825797,LPH23.145-22,High Background Uptime,,,,12/9/2015,
IKUT-825857,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-825915,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-825928,LPH23.145-19 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-825953,LPH23.145-7,High Background Uptime,,,,12/9/2015,
IKUT-825963,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826026,LPH23.145-22,High Background Uptime,,,,12/9/2015,
IKUT-826144,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826155,LPH23.145-22,High Background Uptime,,,,12/9/2015,
IKUT-826207,LPH23.145-7,High Background Uptime,,,,12/9/2015,
IKUT-826221,LPH23.145-22,High Background Uptime,,,,12/9/2015,
IKUT-826289,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826290,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826291,LPH23.145-21 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826303,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826314,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826337,LPH23.145-21 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826358,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826359,LPH23.145-19 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826360,LPH23.145-7,High Background Uptime,,,,12/9/2015,
IKUT-826392,LPH23.145-22,High Background Uptime,,,,12/9/2015,
IKUT-826474,LPH23.145-22,High Background Uptime,,,,12/9/2015,
IKUT-826596,LPH23.145-22,High Background Uptime,,,,12/9/2015,
IKUT-826621,LPH23.145-21 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826624,LPH23.145-7,High Background Uptime,,,,12/9/2015,
IKUT-826718,LPH23.145-22,High Background Uptime,,,,12/9/2015,
IKUT-826756,LPH23.145-22,High Background Uptime,,,,12/9/2015,
IKUT-826867,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-826886,LPH23.145-7,High Background Uptime,,,,12/9/2015,
IKUT-826901,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/9/2015,
IKUT-825643,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-825644,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-825765,LPH23.145-22,High Background CD,,,,12/9/2015,
IKUT-825814,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-825821,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-825916,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-825929,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-825949,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826052,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826084,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826086,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826149,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826252,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826266,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826297,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826299,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826350,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826434,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826457,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826468,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826481,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826483,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826503,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826504,LPH23.145-22,High Background CD,,,,12/9/2015,
IKUT-826511,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826518,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826545,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826602,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826658,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826704,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-826763,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/9/2015,
IKUT-825696,LPH23.145-22,High NightTime CD,,,,12/9/2015,
IKUT-825945,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/9/2015,
IKUT-825961,LPH23.145-22,High NightTime CD,,,,12/9/2015,
IKUT-826348,LPH23.145-22,High NightTime CD,,,,12/9/2015,
IKUT-826636,LPH23.145-22,High NightTime CD,,,,12/9/2015,
