CR #,Build,,Owner,Issues,Analysis,Date,CRs
IKUT-806484,LPD23.196 merlin_retail,,André Marangone,Wifi Tethering,Invalid,9/28/2015,12 CRs
IKUT-806517,LPD23.196 merlin_retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-806654,LPD23.196 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-806676,LPD23.196 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-806923,LPD23.196 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-807009,LPD23.196 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-807015,LPD23.196 retail,,André Marangone,DIAG_WS,Dup: IKSWL-38525,,
IKUT-806960,LPD23.196 retasia,,André Marangone,"Recharge, Shop and Wallet' (net.one97.paytm) -- alarms",Moved to 3rd Party - MotoDev: IKSWL-38343,,
IKUT-806967,LPD23.196 retasia,,André Marangone,Wifi Tethering,Invalid,,
IKUT-807121,LPD23.196 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-807137,LPD23.196 retasia,,André Marangone,DIAG_WS,Dup: IKSWL-38525,,
IKUT-806835,LPD23.197 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-807213,LPD23.196 retasia,,André Marangone,Ok,Closed - Cancelled,09/29/2015,4
IKUT-807258,LPD23.196 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-807307,LPD23.197 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-807110,LPD23.196,,André Marangone,Green the Planet' (jp.pumo.planetofgreen) causes the tag: AudioMix,Moved to 3rd Party - MotoDev: IKSWL-38439,,
IKUT-807605,LPD23.197 retail,,André Marangone,Wifi Tethering,Invalid,09/30/2015,5
IKUT-807704,LPD23.197 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-807495,LPD23.196 retasia,,André Marangone,DIAG_WS,Moved to Modem8939-Integration: IKSWL-38525,,
IKUT-807697,LPD23.196 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-807620,LPD23.196,,André Marangone,Ok,Closed - Cancelled,,
IKUT-808007,LPD23.197 retail,,Matheus,Wifi Tethering,Invalid,10/01/2015,03 CRs
IKUT-808021,LPD23.197 retail,,Matheus,DIAG_WS,Dup: IKSWL-38525,,
IKUT-807942,LPD23.196,,Matheus,Ok,Closed - Cancelled,,
IKUT-808317,LPD23.197 retail,,André Marangone,RunKeeper - GPS Track Run Walk app (com.fitnesskeeper.runkeeper.pro): LionHeartManagerLock,Dup: IKSWL-24024,10/02/2015,8
IKUT-808398,LPD23.197 retail,,André Marangone,RunKeeper - GPS Track Run Walk app (com.fitnesskeeper.runkeeper.pro): LionHeartManagerLock,Dup: IKSWL-24024,,
IKUT-808141,LPD23.196 retasia,,André Marangone,DIAG_WS,Dup: IKSWL-38525,,
IKUT-808434,LPD23.196 retasia,,André Marangone (SAT),Wifi Tethering,Invalid,,
IKUT-808182,LPD23.196 retail,,André Marangone (SAT),Wifi Tethering --> Need to verify,Closed - Cancelled,,
IKUT-808208,LPD23.196,,André Marangone (SAT),Wifi Tethering,Invalid,,
IKUT-808375,LPD23.196,,André Marangone,Bug2go app (com.motorola.bug2go) - tag: BUG2GO,Moved to Services - Bug2Go: IKSWL-38630,,
IKUT-808381,LPD23.196,,André Marangone,Wifi Tethering,Invalid,,
IKUT-809000,LPD23.202 retasia,,André Marangone,Wifi Tethering,Invalid,10/05/2015,9
IKUT-809039,LPD23.202,,André Marangone,Ok,Closed - Cancelled,,
IKUT-808621,LPD23.202 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-808661,LPD23.202 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-808746,LPD23.202 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-808762,LPD23.202 retail,,André Marangone,mdlog,Closed - Cancelled,,
IKUT-809155,LPD23.202 retail,,André Marangone,RunKeeper - GPS Track Run Walk app (com.fitnesskeeper.runkeeper.pro) - tag: LionHeartManagerLock,Dup: IKSWL-24024,,
IKUT-808489,LPD23.196,,André Marangone,Wifi Tethering,Invalid,,
IKUT-808542,LPD23.196,,André Marangone,(com.google.android.music) -- tag: android.media.MediaPlayer,Dup: IKSWL-22010,,
IKUT-809211,LPD23.202 retasia,,André Marangone,"Recharge, Shop and Wallet' (net.one97.paytm) -- alarms",Dup: IKSWL-38343,10/06/2015,4
IKUT-809302,LPD23.202,,André Marangone,Ok,Closed - Cancelled,,
IKUT-809305,LPD23.202 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-809263,LPD23.197 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-809568,LPD23.202 retasia,,André Marangone,"xmeye (com.mobile.myeye) running nonstop in background, consuming ~6% of CPU power",Moved to 3rd Party - MotoDev: IKSWL-38789,10/07/2015,7
IKUT-809800,LPD23.202 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-809533,LPD23.202,,André Marangone,Ok,Closed - Cancelled,,
IKUT-809534,LPD23.202,,André Marangone,"Recharge, Shop and Wallet' (net.one97.paytm) -- alarms",Dup: IKSWL-38343,,
IKUT-809558,LPD23.202,,André Marangone,Ok,Closed - Cancelled,,
IKUT-809704,LPD23.202,,André Marangone,Ok,Closed - Cancelled,,
IKUT-809565,LPD23.202 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-809876,LPD23.202 retail,,André Marangone,Ok,Closed - Cancelled,10/08/2015,2
IKUT-810111,LPD23.205,,André Marangone,Ok,Closed - Cancelled,,
IKUT-810413,LPD23.207 retasia,,André Marangone,Ok,Closed - Cancelled,10/09/2015,6
IKUT-810139,LPD23.205,,André Marangone,Ok,Closed - Cancelled,,
IKUT-810332,LPD23.202 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-810316,LPD23.202,,André Marangone,gic_show_resume_irq: 216 triggered tsens_interrupt,Moved to Kernel/BSP: IKSWL-38908,,
IKUT-810361,LPD23.202,,André Marangone,gic_show_resume_irq: 216 triggered tsens_interrupt,Dup: Kernel/BSP: IKSWL-38908,,
IKUT-810426,LPD23.202,,André Marangone,gic_show_resume_irq: 216 triggered tsens_interrupt,Dup: Kernel/BSP: IKSWL-38908,,
IKUT-810996,LPD23.209 retail,,André Marangone,Ok,Closed - Cancelled,10/13/2015,25
IKUT-811035,LPD23.209 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-811229,LPD23.209 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-811308,LPD23.209 retail,,André Marangone,Wifi Tethering,Invalid,,
IKUT-811402,LPD23.209 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-810519,LPD23.207 retasia,,André Marangone,Ok,Closed - Cancelled,,
